record_id,year,problem,aggregation_key,paper_id,award_group,file_path,extension,size_bytes,sha256,detected_format,format_status,naming_flags
paper:2020:C:C20102470319,2020,C,2020-C,C20102470319,excellent_paper,papers/excellent_papers/2020年优秀论文/C/C20102470319.pdf,pdf,2078602,b9a7b5bc5b120cd049989e7d0d39220440e07d7099c222a6ae64d6063a30d0d6,PDF,ok,
paper:2020:C:C20102480095,2020,C,2020-C,C20102480095,excellent_paper,papers/excellent_papers/2020年优秀论文/C/C20102480095.pdf,pdf,7429224,c3025cfc39f914d3cb17aea504050fcd9bd7f803cc80bd188bf85907c26d9605,PDF,ok,
paper:2020:C:C20102520034,2020,C,2020-C,C20102520034,excellent_paper,papers/excellent_papers/2020年优秀论文/C/C20102520034.pdf,pdf,1817476,d4a5dacf088e36136256bc3231dcc1fca69ae167c6995502db845e9f7fe66524,PDF,ok,
paper:2020:C:C20102840089,2020,C,2020-C,C20102840089,excellent_paper,papers/excellent_papers/2020年优秀论文/C/C20102840089.pdf,pdf,5649767,6566661abc3c5fd5ecf2cf2d91fad45c4e94c052c7afedb6efa7ca6ddee53cfd,PDF,ok,
paper:2020:C:C20102860127,2020,C,2020-C,C20102860127,excellent_paper,papers/excellent_papers/2020年优秀论文/C/C20102860127.pdf,pdf,3259660,2ebd5d8d26b194213bd2690e2814703fb5fb9033c5d4a8e6f4ea9969aeb18d89,PDF,ok,
paper:2020:C:C20106980009,2020,C,2020-C,C20106980009,excellent_paper,papers/excellent_papers/2020年优秀论文/C/C20106980009.pdf,pdf,3441245,325b0e7a9a2c9c4f5ba3207b00dcce08570e03a5cb4403181290f50598ff4672,PDF,ok,
paper:2020:D:D20102470005,2020,D,2020-D,D20102470005,excellent_paper,papers/excellent_papers/2020年优秀论文/D/D20102470005.pdf,pdf,1946816,c5320154f657c3935d43425587d456c9859486422cec7d927eb959f5399e3156,PDF,ok,
paper:2020:D:D20102690110,2020,D,2020-D,D20102690110,excellent_paper,papers/excellent_papers/2020年优秀论文/D/D20102690110.pdf,pdf,3376202,51afbb2ee4dc0db9f6ec592ec0bf7e2cd1371bb4b0d96eac82b448fdd3e473fc,PDF,ok,
paper:2020:D:D20102860223,2020,D,2020-D,D20102860223,excellent_paper,papers/excellent_papers/2020年优秀论文/D/D20102860223.pdf,pdf,2532346,f741e8a326bd34fc985af6efaeb7600ff10bee014c7f590d0d9426d05997c79f,PDF,ok,
paper:2020:D:D20107010019,2020,D,2020-D,D20107010019,excellent_paper,papers/excellent_papers/2020年优秀论文/D/D20107010019.pdf,pdf,1803746,a294ff190840fdcb34b6b5a12a21942275b9a3ff6da1a804b74408425b166691,PDF,ok,
